Table_Number,Table_name,Table_sub_name,Breakdown,Section,Units,Value,Time_Period,Footnotes
Ripanga 1,Tatauranga o nga umanga - Uepu Maori,A-wehenga ahumahi,Ahuwhenua,Nga uepu Maori,Tau,210,2020,1 me 2
Ripanga 1,Tatauranga o nga umanga - Uepu Maori,A-wehenga ahumahi,Ahuwhenua,Nga uepu Maori,Tau,210,2021,1 me 2
Ripanga 1,Tatauranga o nga umanga - Uepu Maori,A-wehenga ahumahi,Era atu ahumahi tuatahi,Nga uepu Maori,Tau,81,2020,1 me 2
Ripanga 1,Tatauranga o nga umanga - Uepu Maori,A-wehenga ahumahi,Era atu ahumahi tuatahi,Nga uepu Maori,Tau,84,2021,1 me 2
Ripanga 1,Tatauranga o nga umanga - Uepu Maori,A-wehenga ahumahi,Nga kaiwhakahaere rawa ehara i te kainga noho,Nga uepu Maori,Tau,387,2020,1 me 2
Ripanga 1,Tatauranga o nga umanga - Uepu Maori,A-wehenga ahumahi,Nga kaiwhakahaere rawa ehara i te kainga noho,Nga uepu Maori,Tau,381,2021,1 me 2
Ripanga 1,Tatauranga o nga umanga - Uepu Maori,A-wehenga ahumahi,Era ahumahi katoa atu,Nga uepu Maori,Tau,540,2020,1 me 2
Ripanga 1,Tatauranga o nga umanga - Uepu Maori,A-wehenga ahumahi,Era ahumahi katoa atu,Nga uepu Maori,Tau,549,2021,1 me 2
Ripanga 1,Tatauranga o nga umanga - Uepu Maori,A-wehenga ahumahi,Tapeke,Nga uepu Maori,Tau,1215,2020,1 me 2
Ripanga 1,Tatauranga o nga umanga - Uepu Maori,A-wehenga ahumahi,Tapeke,Nga uepu Maori,Tau,1227,2021,1 me 2
Ripanga 2,Tatauranga o nga kaimahi - Uepu Maori,A-ropu ahumahi,Ahuwhenua,Nga uepu Maori,Tau,1750,2020,1 me 2
Ripanga 2,Tatauranga o nga kaimahi - Uepu Maori,A-ropu ahumahi,Ahuwhenua,Nga uepu Maori,Tau,1700,2021,1 me 2
Ripanga 2,Tatauranga o nga kaimahi - Uepu Maori,A-ropu ahumahi,Era atu ahumahi tuatahi,Nga uepu Maori,Tau,1350,2020,1 me 2
Ripanga 2,Tatauranga o nga kaimahi - Uepu Maori,A-ropu ahumahi,Era atu ahumahi tuatahi,Nga uepu Maori,Tau,1200,2021,1 me 2
Ripanga 2,Tatauranga o nga kaimahi - Uepu Maori,A-ropu ahumahi,Nga kaiwhakahaere rawa ehara i te kainga noho,Nga uepu Maori,Tau,280,2020,1 me 2
Ripanga 2,Tatauranga o nga kaimahi - Uepu Maori,A-ropu ahumahi,Nga kaiwhakahaere rawa ehara i te kainga noho,Nga uepu Maori,Tau,380,2021,1 me 2
Ripanga 2,Tatauranga o nga kaimahi - Uepu Maori,A-ropu ahumahi,Era ahumahi katoa atu,Nga uepu Maori,Tau,7800,2020,1 me 2
Ripanga 2,Tatauranga o nga kaimahi - Uepu Maori,A-ropu ahumahi,Era ahumahi katoa atu,Nga uepu Maori,Tau,7800,2021,1 me 2
Ripanga 2,Tatauranga o nga kaimahi - Uepu Maori,A-ropu ahumahi,Tapeke,Nga uepu Maori,Tau,11200,2020,1 me 2
Ripanga 2,Tatauranga o nga kaimahi - Uepu Maori,A-ropu ahumahi,Tapeke,Nga uepu Maori,Tau,11100,2021,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Te ahuwhenua, te mahi ngahere, me te mahi hi ika",Era atu hinonga Maori,Tau,87,2020,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Te ahuwhenua, te mahi ngahere, me te mahi hi ika",Era atu hinonga Maori,Tau,87,2021,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Te maina,Era atu hinonga Maori,Tau,3,2020,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Te maina,Era atu hinonga Maori,Tau,3,2021,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Te whakanao,Era atu hinonga Maori,Tau,66,2020,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Te whakanao,Era atu hinonga Maori,Tau,69,2021,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Te hiko, haukapuni, wai, ratonga parahanga hoki",Era atu hinonga Maori,Tau,6,2020,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Te hiko, haukapuni, wai, ratonga parahanga hoki",Era atu hinonga Maori,Tau,6,2021,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Te waihanga,Era atu hinonga Maori,Tau,78,2020,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Te waihanga,Era atu hinonga Maori,Tau,84,2021,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Te hokohoko a-pakihi,Era atu hinonga Maori,Tau,33,2020,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Te hokohoko a-pakihi,Era atu hinonga Maori,Tau,33,2021,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Te hokohoko a-toa,Era atu hinonga Maori,Tau,21,2020,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Te hokohoko a-toa,Era atu hinonga Maori,Tau,24,2021,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Nga whare noho me nga ratonga kai,Era atu hinonga Maori,Tau,27,2020,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Nga whare noho me nga ratonga kai,Era atu hinonga Maori,Tau,27,2021,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Te ikiiki, te kawe mera me nga whare rokiroki rawa",Era atu hinonga Maori,Tau,33,2020,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Te ikiiki, te kawe mera me nga whare rokiroki rawa",Era atu hinonga Maori,Tau,36,2021,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Nga papaho whakamohio me te whakawhiti parongo,Era atu hinonga Maori,Tau,30,2020,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Nga papaho whakamohio me te whakawhiti parongo,Era atu hinonga Maori,Tau,30,2021,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Nga ratonga ahumoni, inihua hoki",Era atu hinonga Maori,Tau,9,2020,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Nga ratonga ahumoni, inihua hoki",Era atu hinonga Maori,Tau,12,2021,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Nga ratonga reti whare, reti taputapu, hoko whare, whenua hoki",Era atu hinonga Maori,Tau,21,2020,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Nga ratonga reti whare, reti taputapu, hoko whare, whenua hoki",Era atu hinonga Maori,Tau,18,2021,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Nga ratonga ngaio, putaiao, hangarau hoki",Era atu hinonga Maori,Tau,108,2020,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Nga ratonga ngaio, putaiao, hangarau hoki",Era atu hinonga Maori,Tau,114,2021,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Nga ratonga whakahaere, tautoko hoki",Era atu hinonga Maori,Tau,57,2020,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Nga ratonga whakahaere, tautoko hoki",Era atu hinonga Maori,Tau,60,2021,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Te whakahaere me te haumaru tumatanui,Era atu hinonga Maori,Tau,6,2020,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Te whakahaere me te haumaru tumatanui,Era atu hinonga Maori,Tau,6,2021,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Te matauranga me te whakangungu,Era atu hinonga Maori,Tau,30,2020,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Te matauranga me te whakangungu,Era atu hinonga Maori,Tau,30,2021,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Nga awhina hauora, papori hoki",Era atu hinonga Maori,Tau,33,2020,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Nga awhina hauora, papori hoki",Era atu hinonga Maori,Tau,39,2021,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Nga ratonga toi, hakinakina hoki",Era atu hinonga Maori,Tau,51,2020,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Nga ratonga toi, hakinakina hoki",Era atu hinonga Maori,Tau,51,2021,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Etahi atu ratonga,Era atu hinonga Maori,Tau,51,2020,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Etahi atu ratonga,Era atu hinonga Maori,Tau,51,2021,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Tapeke,Era atu hinonga Maori,Tau,756,2020,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Tapeke,Era atu hinonga Maori,Tau,780,2021,1 me 2
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Nga whare noho me nga ratonga kai,Nga umanga tapoi Maori,Tau,54,2020,1 me 3
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Nga whare noho me nga ratonga kai,Nga umanga tapoi Maori,Tau,54,2021,1 me 3
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Te ikiiki, te kawe mera me nga whare rokiroki rawa",Nga umanga tapoi Maori,Tau,24,2020,1 me 3
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Te ikiiki, te kawe mera me nga whare rokiroki rawa",Nga umanga tapoi Maori,Tau,27,2021,1 me 3
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Nga ratonga reti whare, reti taputapu, hoko whare, whenua hoki",Nga umanga tapoi Maori,Tau,3,2020,1 me 3
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Nga ratonga reti whare, reti taputapu, hoko whare, whenua hoki",Nga umanga tapoi Maori,Tau,3,2021,1 me 3
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Nga ratonga whakahaere, tautoko hoki",Nga umanga tapoi Maori,Tau,21,2020,1 me 3
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Nga ratonga whakahaere, tautoko hoki",Nga umanga tapoi Maori,Tau,24,2021,1 me 3
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Nga ratonga toi, hakinakina hoki",Nga umanga tapoi Maori,Tau,63,2020,1 me 3
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Nga ratonga toi, hakinakina hoki",Nga umanga tapoi Maori,Tau,66,2021,1 me 3
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Etahi ahumahi katoa atu,Nga umanga tapoi Maori,Tau,24,2020,1 me 3
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Etahi ahumahi katoa atu,Nga umanga tapoi Maori,Tau,24,2021,1 me 3
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Tapeke,Nga umanga tapoi Maori,Tau,192,2020,1 me 3
Ripanga 3,Tatauranga o nga umanga - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Tapeke,Nga umanga tapoi Maori,Tau,198,2021,1 me 3
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Te ahuwhenua, te mahi ngahere, me te mahi hi ika",Era atu hinonga Maori,Tau,1850,2020,1 me 2
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Te ahuwhenua, te mahi ngahere, me te mahi hi ika",Era atu hinonga Maori,Tau,1700,2021,1 me 2
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Te maina,Era atu hinonga Maori,Tau,15,2020,1 me 2
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Te maina,Era atu hinonga Maori,Tau,25,2021,1 me 2
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Te whakanao,Era atu hinonga Maori,Tau,990,2020,1 me 2
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Te whakanao,Era atu hinonga Maori,Tau,990,2021,1 me 2
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Te hiko, haukapuni, wai, ratonga parahanga hoki",Era atu hinonga Maori,Tau,55,2020,1 me 2
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Te hiko, haukapuni, wai, ratonga parahanga hoki",Era atu hinonga Maori,Tau,60,2021,1 me 2
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Te waihanga,Era atu hinonga Maori,Tau,1650,2020,1 me 2
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Te waihanga,Era atu hinonga Maori,Tau,1650,2021,1 me 2
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Te hokohoko a-pakihi,Era atu hinonga Maori,Tau,650,2020,1 me 2
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Te hokohoko a-pakihi,Era atu hinonga Maori,Tau,690,2021,1 me 2
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Te hokohoko a-toa,Era atu hinonga Maori,Tau,230,2020,1 me 2
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Te hokohoko a-toa,Era atu hinonga Maori,Tau,250,2021,1 me 2
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Nga whare noho me nga ratonga kai,Era atu hinonga Maori,Tau,400,2020,1 me 2
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Nga whare noho me nga ratonga kai,Era atu hinonga Maori,Tau,350,2021,1 me 2
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Te ikiiki, te kawe mera me nga whare rokiroki rawa",Era atu hinonga Maori,Tau,290,2020,1 me 2
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Te ikiiki, te kawe mera me nga whare rokiroki rawa",Era atu hinonga Maori,Tau,210,2021,1 me 2
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Nga papaho whakamohio me te whakawhiti parongo,Era atu hinonga Maori,Tau,120,2020,1 me 2
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Nga papaho whakamohio me te whakawhiti parongo,Era atu hinonga Maori,Tau,120,2021,1 me 2
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Nga ratonga ahumoni, inihua hoki",Era atu hinonga Maori,Tau,30,2020,1 me 2
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Nga ratonga ahumoni, inihua hoki",Era atu hinonga Maori,Tau,30,2021,1 me 2
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Nga ratonga reti whare, reti taputapu, hoko whare, whenua hoki",Era atu hinonga Maori,Tau,120,2020,1 me 2
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Nga ratonga reti whare, reti taputapu, hoko whare, whenua hoki",Era atu hinonga Maori,Tau,140,2021,1 me 2
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Nga ratonga ngaio, putaiao, hangarau hoki",Era atu hinonga Maori,Tau,630,2020,1 me 2
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Nga ratonga ngaio, putaiao, hangarau hoki",Era atu hinonga Maori,Tau,700,2021,1 me 2
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Nga ratonga whakahaere, tautoko hoki",Era atu hinonga Maori,Tau,830,2020,1 me 2
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Nga ratonga whakahaere, tautoko hoki",Era atu hinonga Maori,Tau,930,2021,1 me 2
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Te whakahaere me te haumaru tumatanui,Era atu hinonga Maori,Tau,90,2020,1 me 2
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Te whakahaere me te haumaru tumatanui,Era atu hinonga Maori,Tau,110,2021,1 me 2
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Te matauranga me te whakangungu,Era atu hinonga Maori,Tau,270,2020,1 me 2
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Te matauranga me te whakangungu,Era atu hinonga Maori,Tau,250,2021,1 me 2
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Nga awhina hauora, papori hoki",Era atu hinonga Maori,Tau,730,2020,1 me 2
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Nga awhina hauora, papori hoki",Era atu hinonga Maori,Tau,910,2021,1 me 2
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Nga ratonga toi, hakinakina hoki",Era atu hinonga Maori,Tau,630,2020,1 me 2
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Nga ratonga toi, hakinakina hoki",Era atu hinonga Maori,Tau,400,2021,1 me 2
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Etahi atu ratonga,Era atu hinonga Maori,Tau,180,2020,1 me 2
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Etahi atu ratonga,Era atu hinonga Maori,Tau,190,2021,1 me 2
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Tapeke,Era atu hinonga Maori,Tau,9800,2020,1 me 2
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Tapeke,Era atu hinonga Maori,Tau,9700,2021,1 me 2
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Nga whare noho me nga ratonga kai,Nga umanga tapoi Maori,Tau,980,2020,1 me 3
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Nga whare noho me nga ratonga kai,Nga umanga tapoi Maori,Tau,780,2021,1 me 3
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Te ikiiki, te kawe mera me nga whare rokiroki rawa",Nga umanga tapoi Maori,Tau,180,2020,1 me 3
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Te ikiiki, te kawe mera me nga whare rokiroki rawa",Nga umanga tapoi Maori,Tau,160,2021,1 me 3
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Nga ratonga reti whare, reti taputapu, hoko whare, whenua hoki",Nga umanga tapoi Maori,Tau,0,2020,1 me 3
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Nga ratonga reti whare, reti taputapu, hoko whare, whenua hoki",Nga umanga tapoi Maori,Tau,0,2021,1 me 3
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Nga ratonga whakahaere, tautoko hoki",Nga umanga tapoi Maori,Tau,180,2020,1 me 3
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Nga ratonga whakahaere, tautoko hoki",Nga umanga tapoi Maori,Tau,50,2021,1 me 3
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Nga ratonga toi, hakinakina hoki",Nga umanga tapoi Maori,Tau,930,2020,1 me 3
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,"Nga ratonga toi, hakinakina hoki",Nga umanga tapoi Maori,Tau,670,2021,1 me 3
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Etahi ahumahi katoa atu,Nga umanga tapoi Maori,Tau,85,2020,1 me 3
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Etahi ahumahi katoa atu,Nga umanga tapoi Maori,Tau,80,2021,1 me 3
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Tapeke,Nga umanga tapoi Maori,Tau,2350,2020,1 me 3
Ripanga 4,Tatauranga o nga kaimahi - Era atu hinonga Maori me te tapoi Maori,A-wehenga ahumahi,Tapeke,Nga umanga tapoi Maori,Tau,1750,2021,1 me 3
Ripanga 5,Tatauranga o nga umanga,"A-momo umanga, a-rahi hoki",0 to 19,Nga uepu Maori,Tau,1131,2020,1 me 2 me 3
Ripanga 5,Tatauranga o nga umanga,"A-momo umanga, a-rahi hoki",0 to 19,Nga uepu Maori,Tau,1134,2021,1 me 2 me 3
Ripanga 5,Tatauranga o nga umanga,"A-momo umanga, a-rahi hoki",20 to 49,Nga uepu Maori,Tau,39,2020,1 me 2 me 3
Ripanga 5,Tatauranga o nga umanga,"A-momo umanga, a-rahi hoki",20 to 49,Nga uepu Maori,Tau,48,2021,1 me 2 me 3
Ripanga 5,Tatauranga o nga umanga,"A-momo umanga, a-rahi hoki",50 to 99,Nga uepu Maori,Tau,21,2020,1 me 2 me 3
Ripanga 5,Tatauranga o nga umanga,"A-momo umanga, a-rahi hoki",50 to 99,Nga uepu Maori,Tau,24,2021,1 me 2 me 3
Ripanga 5,Tatauranga o nga umanga,"A-momo umanga, a-rahi hoki",100+,Nga uepu Maori,Tau,24,2020,1 me 2 me 3
Ripanga 5,Tatauranga o nga umanga,"A-momo umanga, a-rahi hoki",100+,Nga uepu Maori,Tau,21,2021,1 me 2 me 3
Ripanga 5,Tatauranga o nga umanga,"A-momo umanga, a-rahi hoki",Tapeke,Nga uepu Maori,Tau,1215,2020,1 me 2 me 3
Ripanga 5,Tatauranga o nga umanga,"A-momo umanga, a-rahi hoki",Tapeke,Nga uepu Maori,Tau,1227,2021,1 me 2 me 3
Ripanga 5,Tatauranga o nga umanga,"A-momo umanga, a-rahi hoki",0 to 19,Era atu hinonga Maori,Tau,609,2020,1 me 2 me 4
Ripanga 5,Tatauranga o nga umanga,"A-momo umanga, a-rahi hoki",0 to 19,Era atu hinonga Maori,Tau,633,2021,1 me 2 me 4
Ripanga 5,Tatauranga o nga umanga,"A-momo umanga, a-rahi hoki",20 to 49,Era atu hinonga Maori,Tau,78,2020,1 me 2 me 4
Ripanga 5,Tatauranga o nga umanga,"A-momo umanga, a-rahi hoki",20 to 49,Era atu hinonga Maori,Tau,90,2021,1 me 2 me 4
Ripanga 5,Tatauranga o nga umanga,"A-momo umanga, a-rahi hoki",50 to 99,Era atu hinonga Maori,Tau,57,2020,1 me 2 me 4
Ripanga 5,Tatauranga o nga umanga,"A-momo umanga, a-rahi hoki",50 to 99,Era atu hinonga Maori,Tau,51,2021,1 me 2 me 4
Ripanga 5,Tatauranga o nga umanga,"A-momo umanga, a-rahi hoki",100+,Era atu hinonga Maori,Tau,6,2020,1 me 2 me 4
Ripanga 5,Tatauranga o nga umanga,"A-momo umanga, a-rahi hoki",100+,Era atu hinonga Maori,Tau,9,2021,1 me 2 me 4
